"customer_id","total_orders","total_spent","avg_order_value","lifetime_purchases","f_score","m_score","fm_score","customer_segment"
890,1,84,84.0000000000000000,50,1,2,3,At Risk
1633,1,28,28.0000000000000000,50,1,5,6,Loyal
2485,1,97,97.0000000000000000,50,1,1,2,At Risk
314,1,77,77.0000000000000000,50,1,2,3,At Risk
2265,1,92,92.0000000000000000,50,1,1,2,At Risk
1902,1,76,76.0000000000000000,50,1,2,3,At Risk
1640,1,65,65.0000000000000000,50,1,3,4,Potential
1620,1,78,78.0000000000000000,50,1,2,3,At Risk
1192,1,70,70.0000000000000000,50,1,2,3,At Risk
3620,1,75,75.0000000000000000,50,1,2,3,At Risk
3206,1,24,24.0000000000000000,50,1,5,6,Loyal
1738,1,98,98.0000000000000000,50,1,1,2,At Risk
2948,1,63,63.0000000000000000,50,1,3,4,Potential
3436,1,91,91.0000000000000000,50,1,1,2,At Risk
640,1,24,24.0000000000000000,50,1,5,6,Loyal
1007,1,83,83.0000000000000000,50,1,2,3,At Risk
2289,1,91,91.0000000000000000,50,1,1,2,At Risk
1330,1,63,63.0000000000000000,50,1,3,4,Potential
2060,1,50,50.0000000000000000,50,1,4,5,Potential
2263,1,22,22.0000000000000000,50,1,5,6,Loyal
858,1,60,60.0000000000000000,50,1,3,4,Potential
1356,1,91,91.0000000000000000,50,1,1,2,At Risk
1851,1,76,76.0000000000000000,50,1,2,3,At Risk
102,1,85,85.0000000000000000,50,1,1,2,At Risk
21,1,51,51.0000000000000000,50,1,3,4,Potential
2712,1,22,22.0000000000000000,50,1,5,6,Loyal
3639,1,20,20.0000000000000000,50,1,5,6,Loyal
3582,1,95,95.0000000000000000,50,1,1,2,At Risk
1617,1,41,41.0000000000000000,50,1,4,5,Potential
3262,1,52,52.0000000000000000,50,1,3,4,Potential
2446,1,96,96.0000000000000000,50,1,1,2,At Risk
3438,1,62,62.0000000000000000,50,1,3,4,Potential
522,1,41,41.0000000000000000,50,1,4,5,Potential
1296,1,60,60.0000000000000000,50,1,3,4,Potential
1820,1,86,86.0000000000000000,50,1,1,2,At Risk
1109,1,25,25.0000000000000000,50,1,5,6,Loyal
723,1,32,32.0000000000000000,50,1,5,6,Loyal
1538,1,89,89.0000000000000000,50,1,1,2,At Risk
2443,1,95,95.0000000000000000,50,1,1,2,At Risk
1618,1,64,64.0000000000000000,50,1,3,4,Potential
3099,1,64,64.0000000000000000,50,1,3,4,Potential
666,1,55,55.0000000000000000,50,1,3,4,Potential
79,1,91,91.0000000000000000,50,1,1,2,At Risk
1965,1,51,51.0000000000000000,50,1,3,4,Potential
1624,1,58,58.0000000000000000,50,1,3,4,Potential
634,1,33,33.0000000000000000,50,1,5,6,Loyal
3257,1,26,26.0000000000000000,50,1,5,6,Loyal
2297,1,88,88.0000000000000000,50,1,1,2,At Risk
2918,1,45,45.0000000000000000,50,1,4,5,Potential
1522,1,59,59.0000000000000000,50,1,3,4,Potential
2167,1,88,88.0000000000000000,50,1,1,2,At Risk
2117,1,23,23.0000000000000000,50,1,5,6,Loyal
311,1,85,85.0000000000000000,50,1,1,2,At Risk
3743,1,80,80.0000000000000000,50,1,2,3,At Risk
1830,1,96,96.0000000000000000,50,1,1,2,At Risk
2908,1,82,82.0000000000000000,50,1,2,3,At Risk
1151,1,36,36.0000000000000000,50,1,4,5,Potential
977,1,90,90.0000000000000000,50,1,1,2,At Risk
2807,1,39,39.0000000000000000,50,1,4,5,Potential
2230,1,97,97.0000000000000000,50,1,1,2,At Risk
3730,1,82,82.0000000000000000,50,1,2,3,At Risk
2490,1,34,34.0000000000000000,50,1,5,6,Loyal
366,1,88,88.0000000000000000,50,1,1,2,At Risk
291,1,33,33.0000000000000000,50,1,5,6,Loyal
159,1,73,73.0000000000000000,50,1,2,3,At Risk
2752,1,52,52.0000000000000000,50,1,3,4,Potential
125,1,86,86.0000000000000000,50,1,1,2,At Risk
1953,1,82,82.0000000000000000,50,1,2,3,At Risk
456,1,100,100.0000000000000000,50,1,1,2,At Risk
3394,1,90,90.0000000000000000,50,1,1,2,At Risk
3505,1,41,41.0000000000000000,50,1,4,5,Potential
